code,value
002094.SZ,42.69
002095.SZ,55.53
002096.SZ,69
002097.SZ,34.16
002098.SZ,55.73
002099.SZ,43.16
002100.SZ,55.33
002101.SZ,56.04
002102.SZ,8.45
002103.SZ,20.57
002104.SZ,3.92
002105.SZ,51.14
002106.SZ,31.85
002107.SZ,51.58
002108.SZ,36.96
002109.SZ,70.27
002110.SZ,67.73
002111.SZ,38.62
002112.SZ,28.68
002113.SZ,21.75
002114.SZ,49.37
002115.SZ,12.57
002116.SZ,64.79
002117.SZ,40.83
002118.SZ,45.63
002119.SZ,35.75
002120.SZ,79.04
002121.SZ,36.9
002122.SZ,49.08
002123.SZ,30.38
002124.SZ,12.16
002125.SZ,52.07
002126.SZ,40.42
002127.SZ,49.79
002128.SZ,70.74
002129.SZ,46
002130.SZ,8
002131.SZ,15.6
002132.SZ,6.76
002133.SZ,7.21
002134.SZ,47.73
002135.SZ,60.52
002136.SZ,38.31
002137.SZ,7.86
002138.SZ,38.24
002139.SZ,8.41
002140.SZ,65.95
002141.SZ,25.73
002142.SZ,76.52
002144.SZ,3.46
002145.SZ,7.86
002146.SZ,67.67
002147.SZ,25.36
002148.SZ,0.61
002149.SZ,43.78
002150.SZ,60.9
002151.SZ,19.05
002152.SZ,62.81
002153.SZ,35.27
002154.SZ,1.22
002155.SZ,49.89
002156.SZ,69.79
002157.SZ,51.7
002158.SZ,63.83
002159.SZ,45.38
002160.SZ,44.81
002161.SZ,1.49
002162.SZ,56.79
002163.SZ,30.92
002164.SZ,32.59
002165.SZ,41.85
002166.SZ,4.5
002167.SZ,23.87
002168.SZ,39.8
002169.SZ,25.06
002170.SZ,11.5
002171.SZ,51.76
002172.SZ,42.2
002173.SZ,19.52
002174.SZ,33.59
002175.SZ,13.92
002176.SZ,32.04
002177.SZ,0.3
002178.SZ,27.42
002179.SZ,73.08
002180.SZ,71.23
002181.SZ,69.2
002182.SZ,17.37
002183.SZ,38.85
002184.SZ,8.74
002185.SZ,39.64
002186.SZ,51.69
002187.SZ,62.55
002188.SZ,39.12
002189.SZ,48.65
002190.SZ,52.99
002191.SZ,47.05
002192.SZ,24.77
002193.SZ,61.02
002194.SZ,28.08
002195.SZ,16.76
002196.SZ,18.17
002197.SZ,0.57
002198.SZ,12.11
002199.SZ,31.65
002200.SZ,15.16
002201.SZ,22.8
002202.SZ,69.09
002203.SZ,69.9
002204.SZ,66.82
002205.SZ,37.94
002206.SZ,28.58
002207.SZ,29.43
002208.SZ,58.85
002209.SZ,28.89
002210.SZ,48.54
002211.SZ,15.58
002212.SZ,34.98
002213.SZ,29.03
002214.SZ,7.58
002215.SZ,22.01
002216.SZ,53.61
002217.SZ,34.97
002218.SZ,44.69
002219.SZ,18.52
002221.SZ,46.29
002222.SZ,27.69
002223.SZ,52.2
002224.SZ,1.66
002225.SZ,2.43
002226.SZ,53.14
002227.SZ,66.27
002228.SZ,48.78
002229.SZ,14.3
002230.SZ,32.18
002231.SZ,28.16
002232.SZ,57.65
002233.SZ,15.42
002234.SZ,6.02
002235.SZ,1.06
002236.SZ,31.8
002237.SZ,50.32
002238.SZ,75.04
002239.SZ,49.14
002240.SZ,17.92
002241.SZ,51.34
002242.SZ,82.74
002243.SZ,53.66
002244.SZ,68
002245.SZ,30.7
002246.SZ,55.53
002247.SZ,17.05
002248.SZ,23.4
002249.SZ,24.57
002250.SZ,19.8
002251.SZ,61.29
002252.SZ,74.37
002253.SZ,25.07
002254.SZ,39.15
002255.SZ,9.41
002256.SZ,37.41
002258.SZ,65.42
002259.SZ,26.42
002260.SZ,27.32
002261.SZ,4.94
002262.SZ,47.7
002263.SZ,28.74
002264.SZ,47.56
002265.SZ,61.64
002266.SZ,6.36
002267.SZ,71.4
002268.SZ,55.73
002269.SZ,66.3
002270.SZ,49.86
002271.SZ,43.48
002272.SZ,6.69
002273.SZ,42.32
002274.SZ,46.95
002275.SZ,70.96
002276.SZ,28.28
002277.SZ,36.58
002278.SZ,26.32
002279.SZ,21.94
002280.SZ,21.17
002281.SZ,60.19
002282.SZ,4.93
002283.SZ,18.43
002284.SZ,43.04
002285.SZ,62.3
002286.SZ,29.27
002287.SZ,91.19
002288.SZ,17.63
002289.SZ,31.6
002290.SZ,23.76
002291.SZ,57.54
002292.SZ,27.76
002293.SZ,47.46
002294.SZ,74.72
002295.SZ,48
002296.SZ,1.11
002297.SZ,37.25
002298.SZ,18.95
002299.SZ,64.5
002300.SZ,64.11
002301.SZ,62.19
002302.SZ,67.84
002303.SZ,11.88
002304.SZ,82.58
002305.SZ,47.52
002306.SZ,23.95
002307.SZ,48.3
002308.SZ,40.78
002309.SZ,45.46
002310.SZ,29.23
002311.SZ,81.96
002312.SZ,0.8
002313.SZ,51.6
002314.SZ,42.92
002315.SZ,6.37
002316.SZ,11.15
002317.SZ,10.73
002318.SZ,53.6
002319.SZ,27.23
002320.SZ,70.61
002321.SZ,34.8
002322.SZ,39.31
002323.SZ,19.72
002324.SZ,10.28
002325.SZ,9.12
002326.SZ,20.5
002327.SZ,23.35
002328.SZ,0.63
002329.SZ,0.08
002330.SZ,68.96
002331.SZ,31.28
002332.SZ,43.87
002333.SZ,69.19
002334.SZ,6.61
002335.SZ,44.6
002336.SZ,58.96
002337.SZ,33.7
002338.SZ,49.03
002339.SZ,24.32
002340.SZ,29.51
002341.SZ,15.64
002342.SZ,25.6
002343.SZ,44.55
002344.SZ,59.44
002345.SZ,53.24
002346.SZ,69.97
002347.SZ,0.57
002348.SZ,31.78
002349.SZ,47.11
002350.SZ,50.7
002351.SZ,3.88
002352.SZ,69.92
002353.SZ,35.95
002354.SZ,28.28
002355.SZ,46.68
002356.SZ,57.22
002357.SZ,30.38
002358.SZ,44.95
002359.SZ,36.44
002360.SZ,0.99
002361.SZ,0.01
002362.SZ,8.42
002363.SZ,48.23
002364.SZ,47.2
002365.SZ,7.74
002366.SZ,12.76
002367.SZ,14.94
002368.SZ,55.87
002369.SZ,3.54
002370.SZ,36.62
002371.SZ,75.91
002372.SZ,74.66
002373.SZ,43.41
002374.SZ,19.78
002375.SZ,40.18
002376.SZ,48.75
002377.SZ,51.83
002378.SZ,64.55
002379.SZ,28.92
002380.SZ,9.5
002381.SZ,22.53
002382.SZ,67.07
002383.SZ,19.64
002384.SZ,36.37
002385.SZ,11.69
002386.SZ,44.31
002387.SZ,68.13
002388.SZ,46.6
002389.SZ,32.23
002390.SZ,47.37
002391.SZ,8.64
002392.SZ,1.39
002393.SZ,54.73
002394.SZ,49.65
002395.SZ,66.17
002396.SZ,50.72
002397.SZ,15.74
002398.SZ,6.44
002399.SZ,82.9
002400.SZ,29.66
002401.SZ,55.68
002402.SZ,18.85
002403.SZ,48.46
002404.SZ,31.37
002405.SZ,37.05
002406.SZ,0.12
002407.SZ,9.2
002408.SZ,64.61
002409.SZ,26.01
002410.SZ,37.42
002411.SZ,57.79
002412.SZ,48.39
002413.SZ,38.4
002414.SZ,64.47
002415.SZ,73.42
002416.SZ,64.35
002417.SZ,11.74
002418.SZ,42.68
002419.SZ,85.13
002420.SZ,29.27
002421.SZ,21.5
002422.SZ,12.84
002423.SZ,71.35
002424.SZ,26.19
002425.SZ,33.53
002426.SZ,28.2
002427.SZ,69.07
002428.SZ,27.83
002429.SZ,69.27
002430.SZ,77.87
002431.SZ,31.61
002432.SZ,35.33
002433.SZ,29.22
002434.SZ,63.74
002435.SZ,75.15
002436.SZ,2.08
002437.SZ,56.06
002438.SZ,48.6
002439.SZ,39.83
002440.SZ,14.52
002441.SZ,13.57
002442.SZ,16.55
002443.SZ,29.25
002444.SZ,57.08
002445.SZ,43.57
002446.SZ,5.69
002447.SZ,7.48
002448.SZ,0.01
002449.SZ,36.15
002450.SZ,37.05
002451.SZ,20.89
002452.SZ,3.75
002453.SZ,29.51
002454.SZ,6.99
002455.SZ,1.28
002456.SZ,40.84
002457.SZ,26.57
002458.SZ,9.86
002459.SZ,37.93
002460.SZ,19.67
002461.SZ,83.19
002462.SZ,36.88
002463.SZ,52.26
002464.SZ,38.34
002465.SZ,45.32
002466.SZ,43.31
002467.SZ,1.11
002468.SZ,23.1
002469.SZ,27.35
002470.SZ,48.23
002471.SZ,37.17
002472.SZ,11.49
002473.SZ,56.12
002474.SZ,5.31
002475.SZ,73.35
002476.SZ,20.02
002478.SZ,19.47
002479.SZ,50.13
002480.SZ,39.96
002481.SZ,40.77
002482.SZ,60.8
002483.SZ,56.23
002484.SZ,42.07
002485.SZ,74.51
002486.SZ,24.69
002487.SZ,50.98
002488.SZ,11.63
002489.SZ,47.58
002490.SZ,3.19
002491.SZ,43.81
002492.SZ,46.76
002493.SZ,81.49
002494.SZ,3.28
002495.SZ,0.05
002496.SZ,3.16
002497.SZ,4.19
002498.SZ,70.49
002499.SZ,19
002500.SZ,57.51
002501.SZ,12.5
002502.SZ,28.71
002503.SZ,42.46
002504.SZ,0
002505.SZ,64.8
